condition_id,training_name,approved_family,name,z_nm,background_counts,image_size_px,pixel_size_nm,fps,num_frames_source,duration_seconds_source,na,wavelength_nm,exposure_ms,viscosity_pa_s,empirical_std,empirical_gradient,background_method,drift_nm_s,vibration_nm,source_output,source_dataset_preset,recovered_from,source_metadata,condition_source,particle_count,source_initial_position_nm,z_selection_note
E07_000,E07_000_upper_z_minus_1200_clean_mid_counts,upper,z_minus_1200_clean_mid_counts,-1200.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0000.json,one_frame_matching,1,"[14848.0, 14848.0, -1200.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_001,E07_001_upper_z_minus_800_clean_mid_counts,upper,z_minus_800_clean_mid_counts,-800.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0001.json,one_frame_matching,1,"[14848.0, 14848.0, -800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_002,E07_002_upper_z_minus_400_clean_mid_counts,upper,z_minus_400_clean_mid_counts,-400.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0002.json,one_frame_matching,1,"[14848.0, 14848.0, -400.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_003,E07_003_upper_z0_clean_mid_counts,upper,z0_clean_mid_counts,0.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0003.json,one_frame_matching,1,"[14848.0, 14848.0, 0.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_004,E07_004_upper_z_plus_400_clean_mid_counts,upper,z_plus_400_clean_mid_counts,400.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0004.json,one_frame_matching,1,"[14848.0, 14848.0, 400.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_005,E07_005_upper_z_plus_800_clean_mid_counts,upper,z_plus_800_clean_mid_counts,800.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0005.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_006,E07_006_upper_z_plus_1200_clean_mid_counts,upper,z_plus_1200_clean_mid_counts,1200.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0006.json,one_frame_matching,1,"[14848.0, 14848.0, 1200.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_007,E07_007_upper_z_plus_1600_clean_mid_counts,upper,z_plus_1600_clean_mid_counts,1600.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0007.json,one_frame_matching,1,"[14848.0, 14848.0, 1600.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_008,E07_008_upper_z_plus_2000_clean_mid_counts,upper,z_plus_2000_clean_mid_counts,2000.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0008.json,one_frame_matching,1,"[14848.0, 14848.0, 2000.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_009,E07_009_upper_lower_counts_z800,upper,lower_counts_z800,800.0,3500.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0009.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_010,E07_010_upper_higher_counts_z800,upper,higher_counts_z800,800.0,9000.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0010.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_011,E07_011_upper_short_exposure_z800,upper,short_exposure_z800,800.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,12.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0011.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_012,E07_012_upper_max_frame_exposure_z800,upper,max_frame_exposure_z800,800.0,6500.0,256,116.0,40.0,1,0.025,1.2,520.0,24.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0012.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_013,E07_013_upper_lower_na_z800,upper,lower_na_z800,800.0,7000.0,256,116.0,40.0,1,0.025,1.05,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0013.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_014,E07_014_upper_higher_na_z800,upper,higher_na_z800,800.0,7000.0,256,116.0,40.0,1,0.025,1.3,520.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0014.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_015,E07_015_upper_green_shorter_wavelength_z800,upper,green_shorter_wavelength_z800,800.0,7000.0,256,116.0,40.0,1,0.025,1.2,500.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0015.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_016,E07_016_upper_yellow_longer_wavelength_z800,upper,yellow_longer_wavelength_z800,800.0,7000.0,256,116.0,40.0,1,0.025,1.2,560.0,25.0,0.0015,0.004,0.002,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0016.json,one_frame_matching,1,"[14848.0, 14848.0, 800.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
E07_017,E07_017_upper_no_residual_texture_z0,upper,no_residual_texture_z0,0.0,7000.0,256,116.0,40.0,1,0.025,1.2,520.0,25.0,0.0015,0.0,0.0,reference_frame,"[0.0, 0.0, 0.0]",0.0,caustic_one_frame_matching_sweep,local_caustic_one_frame_matching,outputs/caustic_one_frame_matching_sweep/condition_plan.json,outputs/caustic_one_frame_matching_sweep/metadata/video_0017.json,one_frame_matching,1,"[14848.0, 14848.0, 0.0]",Initial z is swept around the focal plane and modest defocus range. Brownian z is not constrained by this sweep condition.
